measure,layer,sse,close,mid,far,extreme
angles_side,A,B4E,0.0,0.0,0.0,-3.893302867375027
angles_side,A,A4E,0.0,0.0,0.0,1.4866044279474693
angles_side,A,B2E,0.0,0.0,0.0,-2.8854936228969024
angles_side,A,A2E,0.0,0.0,0.0,-6.504628004198096
angles_side,B,A1E,0.0,0.0,0.0,0.5225554668733139
angles_side,B,B1E,0.0,0.0,0.0,26.86146604013289
angles_side,B,A3E,0.0,0.0,0.0,25.234926035051714
angles_side,B,B3E,0.0,0.0,0.0,12.901076746776724
angles_side,B,B4E,0.0,0.0,0.0,10.774364473027184
angles_side,B,A4E,0.0,0.0,0.0,19.399886355232454
angles_side,B,B2E,0.0,0.0,0.0,-13.944248865823162
angles_side,B,A2E,0.0,0.0,0.0,2.4630824112062157
points_layer,A,A1E,0.0,0.0,0.0,0.3387002556529063
points_layer,A,B1E,0.0,0.0,0.0,10.800034370057233
points_layer,A,A3E,0.0,0.0,0.0,0.4002244536150886
points_layer,A,B3E,0.0,0.0,0.0,10.432407966331308
points_layer,A,B4E,0.0,0.0,0.0,10.749327407409007
points_layer,A,A4E,0.0,0.0,0.0,0.3283130994105705
points_layer,A,B2E,0.0,0.0,0.0,10.645808082719416
points_layer,A,A2E,0.0,0.0,0.0,0.28086776956117077
points_layer,B,A1E,0.0,0.0,0.0,10.187049136864399
points_layer,B,B1E,0.0,0.0,0.0,0.5984675254059102
points_layer,B,A3E,0.0,0.0,0.0,10.905478726666157
points_layer,B,B3E,0.0,0.0,0.0,0.4370542165211249
points_layer,B,B4E,0.0,0.0,0.0,0.3988693115178167
points_layer,B,A4E,0.0,0.0,0.0,10.42078345772415
points_layer,B,B2E,0.0,0.0,0.0,0.7142927318072436
points_layer,B,A2E,0.0,0.0,0.0,9.907072694713943
points_floor,A,A1E,0.0,0.0,0.0,1.3565476900276165
points_floor,A,B1E,0.0,0.0,0.0,1.5076955910578904
points_floor,A,A3E,0.0,0.0,0.0,0.6266146742328957
points_floor,A,B3E,0.0,0.0,0.0,1.3157224843652655
points_floor,A,B4E,0.0,0.0,0.0,1.7228386760711936
points_floor,A,A4E,0.0,0.0,0.0,1.4425143963621778
points_floor,A,B2E,0.0,0.0,0.0,0.8046647713412524
points_floor,A,A2E,0.0,0.0,0.0,0.49836770242251527
points_floor,B,A1E,0.0,0.0,0.0,2.8849888710048432
points_floor,B,B1E,0.0,0.0,0.0,3.168008059989783
points_floor,B,A3E,0.0,0.0,0.0,0.829939571000769
points_floor,B,B3E,0.0,0.0,0.0,3.111786335799114
points_floor,B,B4E,0.0,0.0,0.0,4.241075009913429
points_floor,B,A4E,0.0,0.0,0.0,2.8424686280980533
points_floor,B,B2E,0.0,0.0,0.0,0.5187874988046417
points_floor,B,A2E,0.0,0.0,0.0,0.8291961181612567
points_side,A,A1E,0.0,0.0,0.0,6.408794000534229
points_side,A,B1E,0.0,0.0,0.0,6.4678855646298405
points_side,A,A3E,0.0,0.0,0.0,1.8658650119298898
points_side,A,B3E,0.0,0.0,0.0,4.244687349742184
points_side,A,B4E,0.0,0.0,0.0,6.135644731492398
points_side,A,A4E,0.0,0.0,0.0,6.780672668006906
points_side,A,B2E,0.0,0.0,0.0,1.1479030925102645
points_side,A,A2E,0.0,0.0,0.0,2.2813689192624325
points_side,B,A1E,0.0,0.0,0.0,4.786396709868822
points_side,B,B1E,0.0,0.0,0.0,4.500732689488755
points_side,B,A3E,0.0,0.0,0.0,2.9195191503708102
points_side,B,B3E,0.0,0.0,0.0,2.286222941733385
points_side,B,B4E,0.0,0.0,0.0,6.919695174865961
points_side,B,A4E,0.0,0.0,0.0,7.070505029997403
points_side,B,B2E,0.0,0.0,0.0,1.010879635753751
points_side,B,A2E,0.0,0.0,0.0,2.2306898829431736
