sse,layer,angles_layer,angles_floor,angles_side,points_layer,points_floor,points_side,tilted_layer,tilted_floor,tilted_side,pdb_path,pdb,chain,rmsd,match
A3E,B,14.70707508327107,57.53640887661682,28.224033560821642,11.103701589161377,2.7322469921668184,3.645344427956777,0.0,0.0,0.0,/work/lpdi/databases/master_pdb/fd/4fd9_A.pdb.gz,4fd9,A,4.68,"[[15, 22], [23, 30], [41, 48], [50, 54], [61, 65], [66, 73], [82, 89], [2, 9]]"
B3E,B,-18.059975290928648,52.98242882960771,31.073229225257613,0.13418764230029326,1.3862008179388656,3.362286873095732,0.0,0.0,0.0,/work/lpdi/databases/master_pdb/fd/4fd9_A.pdb.gz,4fd9,A,4.68,"[[15, 22], [23, 30], [41, 48], [50, 54], [61, 65], [66, 73], [82, 89], [2, 9]]"
B4E,B,-46.04742753434628,37.4414386325671,19.565892760841933,0.1951192959179035,3.4275332243699803,7.215235825460956,0.0,0.0,0.0,/work/lpdi/databases/master_pdb/fd/4fd9_A.pdb.gz,4fd9,A,4.68,"[[15, 22], [23, 30], [41, 48], [50, 54], [61, 65], [66, 73], [82, 89], [2, 9]]"
A4E,B,15.202062209573441,61.35242393926433,23.662081480848226,12.35190149804616,2.035892454059232,7.104424174626213,0.0,0.0,0.0,/work/lpdi/databases/master_pdb/fd/4fd9_A.pdb.gz,4fd9,A,4.68,"[[15, 22], [23, 30], [41, 48], [50, 54], [61, 65], [66, 73], [82, 89], [2, 9]]"
B2E,B,9.998097960515834,55.05685123992073,33.08026687605192,0.0952451320804226,0.5434746733645386,0.5281711752810462,0.0,0.0,0.0,/work/lpdi/databases/master_pdb/fd/4fd9_A.pdb.gz,4fd9,A,4.68,"[[15, 22], [23, 30], [41, 48], [50, 54], [61, 65], [66, 73], [82, 89], [2, 9]]"
A2E,B,18.841974001005962,53.30430874643304,30.182874629113172,10.496046323645974,5.334288298663108,0.03955091183919441,0.0,0.0,0.0,/work/lpdi/databases/master_pdb/fd/4fd9_A.pdb.gz,4fd9,A,4.68,"[[15, 22], [23, 30], [41, 48], [50, 54], [61, 65], [66, 73], [82, 89], [2, 9]]"
A1E,A,6.413384523472493,-79.15379815770055,8.71115481249084,0.12246749814168276,0.7448289443899735,7.2978044137987625,0.0,0.0,0.0,/work/lpdi/databases/master_pdb/sp/1spp_B.pdb.gz,1spp,B,3.34,"[[17, 24], [28, 35], [43, 50], [57, 61], [69, 73], [74, 81], [87, 94], [101, 108]]"
B1E,A,8.545559906347481,-78.28286036226594,7.957791941454368,11.134096831450858,1.696523737777665,6.404260412536847,0.0,0.0,0.0,/work/lpdi/databases/master_pdb/sp/1spp_B.pdb.gz,1spp,B,3.34,"[[17, 24], [28, 35], [43, 50], [57, 61], [69, 73], [74, 81], [87, 94], [101, 108]]"
A3E,A,-12.204270511599455,-77.74511186934495,-1.0885579744556821,0.6555230033636813,0.2513491778451162,2.9913995581697392,0.0,0.0,0.0,/work/lpdi/databases/master_pdb/sp/1spp_B.pdb.gz,1spp,B,3.34,"[[17, 24], [28, 35], [43, 50], [57, 61], [69, 73], [74, 81], [87, 94], [101, 108]]"
B3E,A,-18.166240875093624,-69.96949876392416,8.154833727132994,10.425601043904276,1.5948052861851496,2.51453577464608,0.0,0.0,0.0,/work/lpdi/databases/master_pdb/sp/1spp_B.pdb.gz,1spp,B,3.34,"[[17, 24], [28, 35], [43, 50], [57, 61], [69, 73], [74, 81], [87, 94], [101, 108]]"
